"gender","decade","speaker","word","preceding","stress","following","foll.broad","traj","duration","measurement.no","f1","f2","f3"
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,7,523.9179954,1788.154897,2596.810934
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,8,558.0865604,1742.596811,2608.200456
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,9,551.9375496,1742.596811,2628.883295
"M",2000,"00-O-m01","stoneware","1","full","s","coronal","0021-00-O-m01-mw74__72.760-74.411.wav",0.100923662,10,481.9698931,1657.784951,2608.200456
"M",2000,"00-O-m01","water","@","schwa","b","labial","0022-00-O-m01-mw74__86.915-89.936.wav",0.139895989,0,535.3075171,1114.199727,2622.479283
"M",2000,"00-O-m01","water","@","schwa","b","labial","0022-00-O-m01-mw74__86.915-89.936.wav",0.139895989,1,535.3075171,1187.855496,2608.200456
"M",2000,"00-O-m01","water","@","schwa","b","labial","0022-00-O-m01-mw74__86.915-89.936.wav",0.139895989,2,535.3075171,1150.341686,2585.421412
"M",2000,"00-O-m01","water","@","schwa","b","labial","0022-00-O-m01-mw74__86.915-89.936.wav",0.139895989,3,535.3075171,1127.562642,2596.810934
"M",2000,"00-O-m01","water","@","schwa","b","labial","0022-00-O-m01-mw74__86.915-89.936.wav",0.139895989,4,535.3075171,1127.562642,2585.421412
"M",2000,"00-O-m01","water","@","schwa","b","labial","0022-00-O-m01-mw74__86.915-89.936.wav",0.139895989,5,546.6970387,1138.952164,2598.838196
